종류,상호명,주소
한식 ,밥내음,서울 광진구 동일로30길 50
,세종대 학식,서울 광진구 능동로 209 학생회관 지하1층
,알촌,서울 광진구 능동로16길 48
,위락밥집,서울 광진구 능동로16길 50
,원조순대국감자탕전문,서울 광진구 능동로 13길 69
,돕감자탕,서울 광진구 아차산로 31길 9
,원조자양감자탕,서울 광진구 아차산로 309
,황소식당,서울 광진구 아차산로 297
,굴다리전주콩나물국밥,서울 광진구 자양로 160
분식 ,아찌떡볶이,서울 광진구 화양동 34-5
,마약떡볶이,서울 광진구 능동로 141 1층
,골목에 골목,서울 광진구 아차산로 33길 51-4 
,불난떡볶이,서울 광진구 능동로 16길 51
,우동연가 화양점,서울 광진구 능동로 19길 27
,은혜즉석떡볶이,서울 광진구 광나루로 381-1
,꼽사리떡볶이,서울 광진구 아차산로 29길 71 영일빌딩 1층
,행컵,서울 광진구 능동로16길 54 1층 우측
카페/디저트,꼬메노,서울 광진구 군자로 7길 29
,도쿄빙수,서울 광진구 아차산로 31길 45 1층
,띵똥와플,서울 광진구 능동로 13길 10
,뺑드램,서울 광진구 뚝섬로 599 
,최가커피,서울 광진구 능동로 13길 23
,아오스요거트,서울 광진구 능동로 153
,요미스라이스요거트,서울 광진구 능동로 133-1
,Index,서울 광진구 아차산로 200 3층
,트리안,서울 광진구 아차산로 29길 8 1층
,카페온더플랜,서울 광진구 능동로 161 1층 카페온더플랜
돈까스/회/일식,포세이돈초밥,서울 광진구 능동로16길 30 101호
,가츠시,서울 광진구 광나루로 418
,호야초밥,서울 광진구 능동로13길 36
,은호초밥,서울 광진구 동일로20길 83
,아오리의 행방불명,서울 광진구 동일로20길 55 2층
,부탄츄,서울 광진구 동일로22길 117-14
,츠바메,서울 광진구 동일로30길 12 1층 츠바메
,혼다라멘,서울 광진구 광나루로 385 1층1호
,홍대돈부리,서울 광진구 군자로 4
,우마이도,서울 광진구 능동로 135-2
,포비 ,서울 광진구 동일로26길 57 1층
치킨/햄버거 ,바른치킨,서울 광진구 아차산로 29길 7
,교촌치킨,서울 광진구 아차산로 31길 13
,노브랜드버거,서울 광진구 아차산로 225 단산화빌딩 1층
,노랑통닭,서울 광진구 아차산로 29길 42
,푸라닭,서울 광진구 아차산로 345
,오빠네,서울 광진구 능동로 13길 27 지하1층
,수퍼슬라이더스,서울 광진구 능동로 13길 50
,치킨선생,서울 광진구 뚝섬로51길 86
,래빗홀 버거컴퍼니,서울 광진구 광나루로 424
,청년치킨,서울 광진구 군자로 39
아시안/양식 ,타이인플레이트,서울 광진구 광나루로24길 15 103호 타이 인 플레이트
,감성당,서울 강진구 아차산로 29길 25
,다원식당,서울 광진구 아차산로 31길 28 4층
,드로잉레시피,서울 광진구 뚝섬로 33길 45 상석빌딩
,미분당,서울 광진구 군자로 3길 27 1층
,마초쉐프,서울 광진구 능동로 125 2층 마초쉐프 
,잇타이,서울 광진구 동일로 20길 105
,호파스타,서울 광진구 군자로 3길 23
,메이빌,서울 광진구 아차산로29길 7 B1F
중식,천향마라탕,서울 광진구 아차산로30길 20
,매화반점,서울 광진구 동일로 18길 105
,명봉샤브샤브양꼬치,서울 광진구 뚝섬로 31길 59 광진빌딩
,판쿠,서울 광진구 자양로15길 67
,춘리마라탕,서울 광진구 아차산로30길 23
,허씨정통중경마라샹궈,서울 광진구 아차산로30길 17
,취헌,서울 광진구 동일로18길 35 1층
,시옌,서울 광진구 능동로 137-8
,송화산식도삭면,서울 광진구 뚝섬로27길 48
,,
고기 ,돈조은날삼겹살,서울 광진구 광나루로24길 6
,가마로,서울 광진구 동일로 22길 100 1층 
,깍뚝,서울 광진구 능동로19길 36
,육성회비,서울 광진구 동일로 24길 19
,이항아,서울 광진구 군자로 50 1층 이항아
,왕십리정곱창,서울 광진구 능동로 19길 5
,주먹구구,서울 광진구 광나루로 404
,청춘갈비 건대점,서울 광진구 동일로 24길 103 1층
,최신족발,서울 광진구 아차산로 29길 63
,환이네갈비살 본점,서울 광진구 아차산로29길 24 1층
술집,조선주막,서울 광진구 아차산로33길 28-4
,재즈레스토랑,서울 광진구 광나루로 360
,지구상사 건대점,"서울 광진구 아차산로33길 27 2, 3층"
,심마니,서울 광진구 아차산로31길 20-4
,꼼주,서울 광진구 아차산로29길 44
,2호선포차 건대본점,서울 광진구 아차산로31길 24
,김창훈포차,서울 광진구 능동로13길 65 1층 김창훈포차
,하리네즈미 본점,서울 광진구 능동로13길 70-1
,한사바리,서울 광진구 군자로 29 1층 중간자리
,제주도의 밤 서귀포 로맨스,서울 광진구 아차산로33길 27 1층
,질서정연,서울 광진구 동일로24길 50
